,id,composer,composition,movement,ensemble,source,transcriber,catalog_name,seconds,key
0,1727,Schubert,Piano Quintet in A major,2. Andante,Piano Quintet,European Archive,http://tirolmusic.blogspot.com/,OP114,447,A major
1,1728,Schubert,Piano Quintet in A major,3. Scherzo: Presto,Piano Quintet,European Archive,http://tirolmusic.blogspot.com/,OP114,251,A major
2,1729,Schubert,Piano Quintet in A major,4. Andantino - Allegretto,Piano Quintet,European Archive,http://tirolmusic.blogspot.com/,OP114,444,A major
3,1730,Schubert,Piano Quintet in A major,5. Allegro giusto,Piano Quintet,European Archive,http://tirolmusic.blogspot.com/,OP114,368,A major
4,1733,Schubert,Piano Sonata in A major,2. Andantino,Solo Piano,Museopen,Segundo G. Yogore,D959,546,A major
5,1734,Schubert,Piano Sonata in A major,3. Scherzo. Allegro vivace,Solo Piano,Museopen,Segundo G. Yogore,D959,325,A major
6,1735,Schubert,Piano Sonata in A major,4. Rondo. Allegretto,Solo Piano,Museopen,Segundo G. Yogore,D959,714,A major
7,1739,Schubert,Piano Trio in B-flat major,4. Rondo. Allegro vivace,Piano Trio,European Archive,harfesoft.de,OP99,490,B-flat major
8,1742,Schubert,String Quintet in C major,2. Adagio,Viola Quintet,European Archive,harfesoft.de,OP163,924,C major
9,1749,Schubert,Piano Sonata in A minor,1. Moderato,Solo Piano,Museopen,Segundo G. Yogore,D845,696,A minor
10,1750,Schubert,Piano Sonata in A minor,2. Andante poco mosso,Solo Piano,Museopen,Segundo G. Yogore,D845,784,A minor
11,1751,Schubert,Piano Sonata in A minor,3. Scherzo. Allegro vivace - Trio. Un poco piu lento,Solo Piano,Museopen,Segundo G. Yogore,D845,475,A minor
12,1752,Schubert,Piano Sonata in A minor,4. Rondo. Allegro vivace,Solo Piano,Museopen,Segundo G. Yogore,D845,362,A minor
13,1755,Schubert,Piano Sonata in A minor,2. Andante,Solo Piano,Museopen,Segundo G. Yogore,D784,229,A minor
14,1756,Schubert,Piano Sonata in A minor,3. Allegro vivace,Solo Piano,Museopen,Segundo G. Yogore,D784,371,A minor
15,1757,Schubert,Piano Sonata in C minor,1. Allegro,Solo Piano,Museopen,Martin Charles Bucknall,D958,710,C minor
16,1758,Schubert,Piano Sonata in C minor,2. Adagio,Solo Piano,Museopen,Martin Charles Bucknall,D958,468,C minor
17,1759,Schubert,Piano Sonata in C minor,3. Menuetto and Trio,Solo Piano,Museopen,Martin Charles Bucknall,D958,194,C minor
18,1760,Schubert,Piano Sonata in C minor,4. Allegro,Solo Piano,Museopen,Martin Charles Bucknall,D958,655,C minor
19,1763,Schubert,4 Impromptus,1. Impromptu in F minor,Solo Piano,Charlie Albright,Jeruen Espino Dery,OP142,600,
20,1764,Schubert,4 Impromptus,2. Impromptu in A-flat major,Solo Piano,Charlie Albright,Jeruen Espino Dery,OP142,438,
